id,ns1:name,maxLines,ns1:description,ns1:color,ns1:href,x,y,xunits,yunits,ns1:coordinates
11,高沼,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4016</td></tr><tr><th>バス停名</th><td>高沼</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.027921,36.515174,0
12,草嶺,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4015</td></tr><tr><th>バス停名</th><td>草嶺</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.025877,36.498122,0
13,押場,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4014</td></tr><tr><th>バス停名</th><td>押場</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.030132,36.482542,0
14,北豆谷,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4013</td></tr><tr><th>バス停名</th><td>北豆谷</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.032337,36.47554,0
15,郵便局,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4012</td></tr><tr><th>バス停名</th><td>郵便局</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.031511,36.471749,0
16,利賀行政センター,0,"<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4011</td></tr><tr><th>バス停名</th><td>利賀行政センター</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線,百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>",FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.026548,36.457797,0
17,興真寺,0,"<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4010</td></tr><tr><th>バス停名</th><td>興真寺</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線,百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>",FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.02567,36.456325,0
18,バスセンター,0,"<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4009</td></tr><tr><th>バス停名</th><td>バスセンター</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線,百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>",FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.025696,36.453324,0
19,岩渕,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4008</td></tr><tr><th>バス停名</th><td>岩渕</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.021945,36.451998,0
20,上畠,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4007</td></tr><tr><th>バス停名</th><td>上畠</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.011779,36.438744,0
